title,session,authors,affiliations,pdf_url
ShapeFormer: Transformer-Based Shape Completion via Sparse Representation,3D From Multi-View & Sensors,"['Xingguang Yan', 'Liqiang Lin']",['SZU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yan_ShapeFormer_Transformer-Based_Shape_Completion_via_Sparse_Representation_CVPR_2022_paper.pdf
SOMSI: Spherical Novel View Synthesis With Soft Occlusion Multi-Sphere Images,3D From Multi-View & Sensors,"['Tewodros Habtegebrial', 'Christiano Gava']",['TU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Habtegebrial_SOMSI_Spherical_Novel_View_Synthesis_With_Soft_Occlusion_Multi-Sphere_Images_CVPR_2022_paper.pdf
SPAMs: Structured Implicit Parametric Models,3D From Multi-View & Sensors,"['Pablo Palafox', 'Nikolaos Sarafianos']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Palafox_SPAMs_Structured_Implicit_Parametric_Models_CVPR_2022_paper.pdf
SS3D: Sparsely-Supervised 3D Object Detection From Point Cloud,3D From Multi-View & Sensors,"['Chuandong Liu', 'Chenqiang Gao']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Liu_SS3D_Sparsely-Supervised_3D_Object_Detection_From_Point_Cloud_CVPR_2022_paper.pdf
Stereo Magnification With Multi-Layer Images,3D From Multi-View & Sensors,"['Taras Khakhulin', 'Denis Korzhenkov']",['Samsung'],https://openaccess.thecvf.com/content/CVPR2022/papers/Khakhulin_Stereo_Magnification_With_Multi-Layer_Images_CVPR_2022_paper.pdf
Stratified Transformer for 3D Point Cloud Segmentation,3D From Multi-View & Sensors,"['Xin Lai', 'Jianhui Liu']",['CUHK'],https://openaccess.thecvf.com/content/CVPR2022/papers/Lai_Stratified_Transformer_for_3D_Point_Cloud_Segmentation_CVPR_2022_paper.pdf
Structured Local Radiance Fields for Human Avatar Modeling,3D From Multi-View & Sensors,"['Zerong Zheng', 'Han Huang']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zheng_Structured_Local_Radiance_Fields_for_Human_Avatar_Modeling_CVPR_2022_paper.pdf
StyleMesh: Style Transfer for Indoor 3D Scene Reconstructions,3D From Multi-View & Sensors,"['Lukas H\\u00f6llein', 'Justin Johnson']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Hollein_StyleMesh_Style_Transfer_for_Indoor_3D_Scene_Reconstructions_CVPR_2022_paper.pdf
Surface Reconstruction From Point Clouds by Learning Predictive Context Priors,3D From Multi-View & Sensors,"['Baorui Ma', 'Yu-Shen Liu']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ma_Surface_Reconstruction_From_Point_Clouds_by_Learning_Predictive_Context_Priors_CVPR_2022_paper.pdf
Surface-Aligned Neural Radiance Fields for Controllable 3D Human Synthesis,3D From Multi-View & Sensors,"['Tianhan Xu', 'Yasuhiro Fujita']",['UTokyo'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Surface-Aligned_Neural_Radiance_Fields_for_Controllable_3D_Human_Synthesis_CVPR_2022_paper.pdf
Towards Multimodal Depth Estimation From Light Fields,3D From Multi-View & Sensors,"['Titus Leistner', 'Radek Mackowiak']",['Uni'],https://openaccess.thecvf.com/content/CVPR2022/papers/Leistner_Towards_Multimodal_Depth_Estimation_From_Light_Fields_CVPR_2022_paper.pdf
Uniform Subdivision of Omnidirectional Camera Space for Efficient Spherical Stereo Matching,3D From Multi-View & Sensors,"['Donghun Kang', 'Hyeonjoong Jang']",['KAIST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Kang_Uniform_Subdivision_of_Omnidirectional_Camera_Space_for_Efficient_Spherical_Stereo_CVPR_2022_paper.pdf
Urban Radiance Fields,3D From Multi-View & Sensors,"['Konstantinos Rematas', 'Andrew Liu']",['Google'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rematas_Urban_Radiance_Fields_CVPR_2022_paper.pdf
Virtual Correspondence: Humans as a Cue for Extreme-View Geometry,3D From Multi-View & Sensors,"['Wei-Chiu Ma', 'Anqi Joyce Yang']",['MIT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ma_Virtual_Correspondence_Humans_as_a_Cue_for_Extreme-View_Geometry_CVPR_2022_paper.pdf
Virtual Elastic Objects,3D From Multi-View & Sensors,"['Hsiao-yu Chen', 'Edith Tretschk']",['UT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_Virtual_Elastic_Objects_CVPR_2022_paper.pdf
VISTA: Boosting 3D Object Detection via Dual Cross-VIew SpaTial Attention,3D From Multi-View & Sensors,"['Shengheng Deng', 'Zhihao Liang']",['SCUT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Deng_VISTA_Boosting_3D_Object_Detection_via_Dual_Cross-VIew_SpaTial_Attention_CVPR_2022_paper.pdf
Volumetric Bundle Adjustment for Online Photorealistic Scene Capture,3D From Multi-View & Sensors,"['Ronald Clark', 'Chenhang He']",['ICL'],https://openaccess.thecvf.com/content/CVPR2022/papers/Clark_Volumetric_Bundle_Adjustment_for_Online_Photorealistic_Scene_Capture_CVPR_2022_paper.pdf
Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection From Point Clouds,3D From Multi-View & Sensors,"['Chenhang He', 'Ruihuang Li']",['PolyU'],https://openaccess.thecvf.com/content/CVPR2022/papers/He_Voxel_Set_Transformer_A_Set-to-Set_Approach_to_3D_Object_Detection_CVPR_2022_paper.pdf
WarpingGAN: Warping Multiple Uniform Priors for Adversarial 3D Point Cloud Generation,3D From Multi-View & Sensors,"['Yingzhi Tang', 'Yue Qian']",['CityU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tang_WarpingGAN_Warping_Multiple_Uniform_Priors_for_Adversarial_3D_Point_Cloud_CVPR_2022_paper.pdf
X-Trans2Cap: Cross-Modal Knowledge Transfer Using Transformer for 3D Dense Captioning,3D From Multi-View & Sensors,"['Zhihao Yuan', 'Xu Yan']",['CUHK(SZ)'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yuan_X-Trans2Cap_Cross-Modal_Knowledge_Transfer_Using_Transformer_for_3D_Dense_Captioning_CVPR_2022_paper.pdf
Block-NeRF: Scalable Large Scene Neural View Synthesis,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Matthew Tancik', 'Vincent Casser']",['UC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tancik_Block-NeRF_Scalable_Large_Scene_Neural_View_Synthesis_CVPR_2022_paper.pdf
Deep Spectral Methods: A Surprisingly Strong Baseline for Unsupervised Semantic Segmentation and Localization,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Luke Melas-Kyriazi', 'Christian Rupprecht']",['Oxford'],https://openaccess.thecvf.com/content/CVPR2022/papers/Melas-Kyriazi_Deep_Spectral_Methods_A_Surprisingly_Strong_Baseline_for_Unsupervised_Semantic_CVPR_2022_paper.pdf
DPGEN: Differentially Private Generative Energy-Guided Network for Natural Image Synthesis,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Jia-Wei Chen', 'Chia-Mu Yu']",['IIS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_DPGEN_Differentially_Private_Generative_Energy-Guided_Network_for_Natural_Image_Synthesis_CVPR_2022_paper.pdf
Explaining Deep Convolutional Neural Networks via Latent Visual-Semantic Filter Attention,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Yu Yang', 'Seungbae Kim']",['UCLA'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_Explaining_Deep_Convolutional_Neural_Networks_via_Latent_Visual-Semantic_Filter_Attention_CVPR_2022_paper.pdf
"Extracting Triangular 3D Models, Materials, and Lighting From Images","3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Jacob Munkberg', 'Jon Hasselgren']",['NVIDIA'],https://openaccess.thecvf.com/content/CVPR2022/papers/Munkberg_Extracting_Triangular_3D_Models_Materials_and_Lighting_From_Images_CVPR_2022_paper.pdf
It's All in the Teacher: Zero-Shot Quantization Brought Closer to the Teacher,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Kanghyun Choi', 'Hye Yoon Lee']",['Yonsei'],https://openaccess.thecvf.com/content/CVPR2022/papers/Choi_Its_All_in_the_Teacher_Zero-Shot_Quantization_Brought_Closer_to_CVPR_2022_paper.pdf
Light Field Neural Rendering,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Mohammed Suhail', 'Carlos Esteves']",['UBC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Suhail_Light_Field_Neural_Rendering_CVPR_2022_paper.pdf
Local Learning Matters: Rethinking Data Heterogeneity in Federated Learning,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Matias Mendieta', 'Taojiannan Yang']",['UCF'],https://openaccess.thecvf.com/content/CVPR2022/papers/Mendieta_Local_Learning_Matters_Rethinking_Data_Heterogeneity_in_Federated_Learning_CVPR_2022_paper.pdf
Mixed Differential Privacy in Computer Vision,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Aditya Golatkar', 'Alessandro Achille']",['AWS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Golatkar_Mixed_Differential_Privacy_in_Computer_Vision_CVPR_2022_paper.pdf
NLX-GPT: A Model for Natural Language Explanations in Vision and Vision-Language Tasks,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Fawaz Sammani', 'Tanmoy Mukherjee']",['VUB'],https://openaccess.thecvf.com/content/CVPR2022/papers/Sammani_NLX-GPT_A_Model_for_Natural_Language_Explanations_in_Vision_and_CVPR_2022_paper.pdf
Parameter-Free Online Test-Time Adaptation,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Malik Boudiaf', 'Romain Mueller']",['ETS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Boudiaf_Parameter-Free_Online_Test-Time_Adaptation_CVPR_2022_paper.pdf
Patch-Level Representation Learning for Self-Supervised Vision Transformers,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Sukmin Yun', 'Hankook Lee']",['KAIST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yun_Patch-Level_Representation_Learning_for_Self-Supervised_Vision_Transformers_CVPR_2022_paper.pdf
SceneSqueezer: Learning To Compress Scene for Camera Relocalization,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Luwei Yang', 'Rakesh Shrestha']",['SFU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_SceneSqueezer_Learning_To_Compress_Scene_for_Camera_Relocalization_CVPR_2022_paper.pdf
Stochastic Backpropagation: A Memory Efficient Strategy for Training Video Models,"3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Feng Cheng', 'Mingze Xu']",['UNC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cheng_Stochastic_Backpropagation_A_Memory_Efficient_Strategy_for_Training_Video_Models_CVPR_2022_paper.pdf
"Super-Fibonacci Spirals: Fast, Low-Discrepancy Sampling of SO(3)","3D from Multiview & Sensors, Learning for Vision, Explainable Vision, and Privacy","['Marc Alexa', 'Manuel Rey-Area']",['TU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Alexa_Super-Fibonacci_Spirals_Fast_Low-Discrepancy_Sampling_of_SO3_CVPR_2022_paper.pdf
360MonoDepth: High-Resolution 360deg Monocular Depth Estimation,3D From Single Images,"['Manuel Rey-Area', 'Mingze Yuan']",['Bath'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rey-Area_360MonoDepth_High-Resolution_360deg_Monocular_Depth_Estimation_CVPR_2022_paper.pdf
"3D Human Tongue Reconstruction From Single \""In-the-Wild\"" Images",3D From Single Images,"['Stylianos Ploumpis', 'Stylianos Moschoglou']",['ICL'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ploumpis_3D_Human_Tongue_Reconstruction_From_Single_In-the-Wild_Images_CVPR_2022_paper.pdf
3D Moments From Near-Duplicate Photos,3D From Single Images,"['Qianqian Wang', 'Zhengqi Li']",['Google'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_3D_Moments_From_Near-Duplicate_Photos_CVPR_2022_paper.pdf
3D Shape Reconstruction From 2D Images With Disentangled Attribute Flow,3D From Single Images,"['Xin Wen', 'Junsheng Zhou']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wen_3D_Shape_Reconstruction_From_2D_Images_With_Disentangled_Attribute_Flow_CVPR_2022_paper.pdf
Accurate 3D Body Shape Regression Using Metric and Semantic Attributes,3D From Single Images,"['Vasileios Choutas', 'Lea M\\u00fcller']",['MPI-IS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Choutas_Accurate_3D_Body_Shape_Regression_Using_Metric_and_Semantic_Attributes_CVPR_2022_paper.pdf
ArtiBoost: Boosting Articulated 3D Hand-Object Pose Estimation via Online Exploration and Synthesis,3D From Single Images,"['Lixin Yang', 'Kailin Li']",['SJTU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_ArtiBoost_Boosting_Articulated_3D_Hand-Object_Pose_Estimation_via_Online_Exploration_CVPR_2022_paper.pdf
AutoRF: Learning 3D Object Radiance Fields From Single View Observations,3D From Single Images,"['Norman M\\u00fcller', 'Andrea Simonelli']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Muller_AutoRF_Learning_3D_Object_Radiance_Fields_From_Single_View_Observations_CVPR_2022_paper.pdf
BANMo: Building Animatable 3D Neural Models From Many Casual Videos,3D From Single Images,"['Gengshan Yang', 'Minh Vo']",['Meta'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_BANMo_Building_Animatable_3D_Neural_Models_From_Many_Casual_Videos_CVPR_2022_paper.pdf
BARC: Learning To Regress 3D Dog Shape From Images by Exploiting Breed Information,3D From Single Images,"['Nadine R\\u00fcegg', 'Silvia Zuffi']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ruegg_BARC_Learning_To_Regress_3D_Dog_Shape_From_Images_by_CVPR_2022_paper.pdf
CLIP-NeRF: Text-and-Image Driven Manipulation of Neural Radiance Fields,3D From Single Images,"['Can Wang', 'Menglei Chai']",['CityU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_CLIP-NeRF_Text-and-Image_Driven_Manipulation_of_Neural_Radiance_Fields_CVPR_2022_paper.pdf
Collaborative Learning for Hand and Object Reconstruction With Attention-Guided Graph Convolution,3D From Single Images,"['Tze Ho Elden Tse', 'Kwang In Kim']",['Birmingham'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tse_Collaborative_Learning_for_Hand_and_Object_Reconstruction_With_Attention-Guided_Graph_CVPR_2022_paper.pdf
CroMo: Cross-Modal Learning for Monocular Depth Estimation,3D From Single Images,"['Yannick Verdi\\u00e9', 'Jifei Song']",['Huawei'],https://openaccess.thecvf.com/content/CVPR2022/papers/Verdie_CroMo_Cross-Modal_Learning_for_Monocular_Depth_Estimation_CVPR_2022_paper.pdf
Depth Estimation by Combining Binocular Stereo and Monocular Structured-Light,3D From Single Images,"['Yuhua Xu', 'Xiaoli Yang']",['HUT'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Depth_Estimation_by_Combining_Binocular_Stereo_and_Monocular_Structured-Light_CVPR_2022_paper.pdf
DGECN: A Depth-Guided Edge Convolutional Network for End-to-End 6D Pose Estimation,3D From Single Images,"['Tuo Cao', 'Fei Luo']",['WHU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cao_DGECN_A_Depth-Guided_Edge_Convolutional_Network_for_End-to-End_6D_Pose_CVPR_2022_paper.pdf
Dimension Embeddings for Monocular 3D Object Detection,3D From Single Images,"['Yunpeng Zhang', 'Wenzhao Zheng']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_Dimension_Embeddings_for_Monocular_3D_Object_Detection_CVPR_2022_paper.pdf
Disentangled3D: Learning a 3D Generative Model With Disentangled Geometry and Appearance From Monocular Images,3D From Single Images,"['Ayush Tewari', 'Mallikarjun B R']",['MPII'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tewari_Disentangled3D_Learning_a_3D_Generative_Model_With_Disentangled_Geometry_and_CVPR_2022_paper.pdf
Diversity Matters: Fully Exploiting Depth Clues for Reliable Monocular 3D Object Detection,3D From Single Images,"['Zhuoling Li', 'Zhan Qu']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Diversity_Matters_Fully_Exploiting_Depth_Clues_for_Reliable_Monocular_3D_CVPR_2022_paper.pdf
Egocentric Scene Understanding via Multimodal Spatial Rectifier,3D From Single Images,"['Tien Do', 'Khiem Vuong']",['UMN'],https://openaccess.thecvf.com/content/CVPR2022/papers/Do_Egocentric_Scene_Understanding_via_Multimodal_Spatial_Rectifier_CVPR_2022_paper.pdf
EPro-PnP: Generalized End-to-End Probabilistic Perspective-N-Points for Monocular Object Pose Estimation,3D From Single Images,"['Hansheng Chen', 'Pichao Wang']",['Tongji'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_EPro-PnP_Generalized_End-to-End_Probabilistic_Perspective-N-Points_for_Monocular_Object_Pose_Estimation_CVPR_2022_paper.pdf
Exploiting Pseudo Labels in a Self-Supervised Learning Framework for Improved Monocular Depth Estimation,3D From Single Images,"['Andra Petrovai', 'Sergiu Nedevschi']",['TUCN'],https://openaccess.thecvf.com/content/CVPR2022/papers/Petrovai_Exploiting_Pseudo_Labels_in_a_Self-Supervised_Learning_Framework_for_Improved_CVPR_2022_paper.pdf
Exploring Geometric Consistency for Monocular 3D Object Detection,3D From Single Images,"['Qing Lian', 'Botao Ye']",['HKUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Lian_Exploring_Geometric_Consistency_for_Monocular_3D_Object_Detection_CVPR_2022_paper.pdf
f-SfT: Shape-From-Template With a Physics-Based Deformation Model,3D From Single Images,"['Navami Kairanda', 'Edith Tretschk']",['MPII'],https://openaccess.thecvf.com/content/CVPR2022/papers/Kairanda_f-SfT_Shape-From-Template_With_a_Physics-Based_Deformation_Model_CVPR_2022_paper.pdf
Focal Length and Object Pose Estimation via Render and Compare,3D From Single Images,"['Georgy Ponimatkin', 'Yann Labb\\u00e9']",['ENPC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ponimatkin_Focal_Length_and_Object_Pose_Estimation_via_Render_and_Compare_CVPR_2022_paper.pdf
Gated2Gated: Self-Supervised Depth Estimation From Gated Images,3D From Single Images,"['Amanpreet Walia', 'Stefanie Walz']",[' data-aff='],https://openaccess.thecvf.com/content/CVPR2022/papers/Walia_Gated2Gated_Self-Supervised_Depth_Estimation_From_Gated_Images_CVPR_2022_paper.pdf
GenDR: A Generalized Differentiable Renderer,3D From Single Images,"['Felix Petersen', 'Bastian Goldluecke']",['Uni'],https://openaccess.thecvf.com/content/CVPR2022/papers/Petersen_GenDR_A_Generalized_Differentiable_Renderer_CVPR_2022_paper.pdf
Generating Diverse 3D Reconstructions From a Single Occluded Face Image,3D From Single Images,"['Rahul Dey', 'Vishnu Naresh Boddeti']",['MSU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Dey_Generating_Diverse_3D_Reconstructions_From_a_Single_Occluded_Face_Image_CVPR_2022_paper.pdf
HandOccNet: Occlusion-Robust 3D Hand Mesh Estimation Network,3D From Single Images,"['JoonKyu Park', 'Yeonguk Oh']",['SNU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Park_HandOccNet_Occlusion-Robust_3D_Hand_Mesh_Estimation_Network_CVPR_2022_paper.pdf
HEAT: Holistic Edge Attention Transformer for Structured Reconstruction,3D From Single Images,"['Jiacheng Chen', 'Yiming Qian']",['SFU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_HEAT_Holistic_Edge_Attention_Transformer_for_Structured_Reconstruction_CVPR_2022_paper.pdf
Human Mesh Recovery From Multiple Shots,3D From Single Images,"['Georgios Pavlakos', 'Jitendra Malik']",['UC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Pavlakos_Human_Mesh_Recovery_From_Multiple_Shots_CVPR_2022_paper.pdf
Human-Aware Object Placement for Visual Environment Reconstruction,3D From Single Images,"['Hongwei Yi', 'Chun-Hao P. Huang']",['MPI-IS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yi_Human-Aware_Object_Placement_for_Visual_Environment_Reconstruction_CVPR_2022_paper.pdf
Interacting Attention Graph for Single Image Two-Hand Reconstruction,3D From Single Images,"['Mengcheng Li', 'Liang An']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Interacting_Attention_Graph_for_Single_Image_Two-Hand_Reconstruction_CVPR_2022_paper.pdf
IRISformer: Dense Vision Transformers for Single-Image Inverse Rendering in Indoor Scenes,3D From Single Images,"['Rui Zhu', 'Zhengqin Li']",['UCSD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhu_IRISformer_Dense_Vision_Transformers_for_Single-Image_Inverse_Rendering_in_Indoor_CVPR_2022_paper.pdf
JIFF: Jointly-Aligned Implicit Face Function for High Quality Single View Clothed Human Reconstruction,3D From Single Images,"['Yukang Cao', 'Guanying Chen']",['HKU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cao_JIFF_Jointly-Aligned_Implicit_Face_Function_for_High_Quality_Single_View_CVPR_2022_paper.pdf
LAKe-Net: Topology-Aware Point Cloud Completion by Localizing Aligned Keypoints,3D From Single Images,"['Junshu Tang', 'Zhijun Gong']",['SJTU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tang_LAKe-Net_Topology-Aware_Point_Cloud_Completion_by_Localizing_Aligned_Keypoints_CVPR_2022_paper.pdf
Layered Depth Refinement With Mask Guidance,3D From Single Images,"['Soo Ye Kim', 'Jianming Zhang']",['KAIST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Kim_Layered_Depth_Refinement_With_Mask_Guidance_CVPR_2022_paper.pdf
Learning 3D Object Shape and Layout Without 3D Supervision,3D From Single Images,"['Georgia Gkioxari', 'Nikhila Ravi']",['Meta'],https://openaccess.thecvf.com/content/CVPR2022/papers/Gkioxari_Learning_3D_Object_Shape_and_Layout_Without_3D_Supervision_CVPR_2022_paper.pdf
Learning From Pixel-Level Noisy Label: A New Perspective for Light Field Saliency Detection,3D From Single Images,"['Mingtao Feng', 'Kendong Liu']",['Xidian'],https://openaccess.thecvf.com/content/CVPR2022/papers/Feng_Learning_From_Pixel-Level_Noisy_Label_A_New_Perspective_for_Light_CVPR_2022_paper.pdf
Learning Local Displacements for Point Cloud Completion,3D From Single Images,"['Yida Wang', 'David Joseph Tan']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_Learning_Local_Displacements_for_Point_Cloud_Completion_CVPR_2022_paper.pdf
Learning To Estimate Robust 3D Human Mesh From In-the-Wild Crowded Scenes,3D From Single Images,"['Hongsuk Choi', 'Gyeongsik Moon']",['SNU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Choi_Learning_To_Estimate_Robust_3D_Human_Mesh_From_In-the-Wild_Crowded_CVPR_2022_paper.pdf
LGT-Net: Indoor Panoramic Room Layout Estimation With Geometry-Aware Transformer Network,3D From Single Images,"['Zhigang Jiang', 'Zhongzheng Xiang']",['ECNU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Jiang_LGT-Net_Indoor_Panoramic_Room_Layout_Estimation_With_Geometry-Aware_Transformer_Network_CVPR_2022_paper.pdf
LOLNerf: Learn From One Look,3D From Single Images,"['Daniel Rebain', 'Mark Matthews']",['UBC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Rebain_LOLNerf_Learn_From_One_Look_CVPR_2022_paper.pdf
MonoDTR: Monocular 3D Object Detection With Depth-Aware Transformer,3D From Single Images,"['Kuan-Chih Huang', 'Tsung-Han Wu']",['NTU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Huang_MonoDTR_Monocular_3D_Object_Detection_With_Depth-Aware_Transformer_CVPR_2022_paper.pdf
MonoGround: Detecting Monocular 3D Objects From the Ground,3D From Single Images,"['Zequn Qin', 'Xi Li']",['ZJU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Qin_MonoGround_Detecting_Monocular_3D_Objects_From_the_Ground_CVPR_2022_paper.pdf
MonoScene: Monocular 3D Semantic Scene Completion,3D From Single Images,"['Anh-Quan Cao', 'Raoul de Charette']",['Inria'],https://openaccess.thecvf.com/content/CVPR2022/papers/Cao_MonoScene_Monocular_3D_Semantic_Scene_Completion_CVPR_2022_paper.pdf
Multi-View Depth Estimation by Fusing Single-View Depth Probability With Multi-View Geometry,3D From Single Images,"['Gwangbin Bae', 'Ignas Budvytis']",['Cambridge'],https://openaccess.thecvf.com/content/CVPR2022/papers/Bae_Multi-View_Depth_Estimation_by_Fusing_Single-View_Depth_Probability_With_Multi-View_CVPR_2022_paper.pdf
Neural Face Identification in a 2D Wireframe Projection of a Manifold Object,3D From Single Images,"['Kehan Wang', 'Jia Zheng']",['UC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_Neural_Face_Identification_in_a_2D_Wireframe_Projection_of_a_CVPR_2022_paper.pdf
Neural Window Fully-Connected CRFs for Monocular Depth Estimation,3D From Single Images,"['Weihao Yuan', 'Xiaodong Gu']",['Alibaba'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yuan_Neural_Window_Fully-Connected_CRFs_for_Monocular_Depth_Estimation_CVPR_2022_paper.pdf
NeuralHDHair: Automatic High-Fidelity Hair Modeling From a Single Image Using Implicit Neural Representations,3D From Single Images,"['Keyu Wu', 'Yifan Ye']",['ZJU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Wu_NeuralHDHair_Automatic_High-Fidelity_Hair_Modeling_From_a_Single_Image_Using_CVPR_2022_paper.pdf
Occluded Human Mesh Recovery,3D From Single Images,"['Rawal Khirodkar', 'Shashank Tripathi']",['CMU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Khirodkar_Occluded_Human_Mesh_Recovery_CVPR_2022_paper.pdf
OcclusionFusion: Occlusion-Aware Motion Estimation for Real-Time Dynamic 3D Reconstruction,3D From Single Images,"['Wenbin Lin', 'Chengwei Zheng']",['THU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Lin_OcclusionFusion_Occlusion-Aware_Motion_Estimation_for_Real-Time_Dynamic_3D_Reconstruction_CVPR_2022_paper.pdf
OmniFusion: 360 Monocular Depth Estimation via Geometry-Aware Fusion,3D From Single Images,"['Yuyan Li', 'Yuliang Guo']",['MU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_OmniFusion_360_Monocular_Depth_Estimation_via_Geometry-Aware_Fusion_CVPR_2022_paper.pdf
P3Depth: Monocular Depth Estimation With a Piecewise Planarity Prior,3D From Single Images,"['Vaishakh Patil', 'Christos Sakaridis']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Patil_P3Depth_Monocular_Depth_Estimation_With_a_Piecewise_Planarity_Prior_CVPR_2022_paper.pdf
PanopticDepth: A Unified Framework for Depth-Aware Panoptic Segmentation,3D From Single Images,"['Naiyu Gao', 'Fei He']",['CAS'],https://openaccess.thecvf.com/content/CVPR2022/papers/Gao_PanopticDepth_A_Unified_Framework_for_Depth-Aware_Panoptic_Segmentation_CVPR_2022_paper.pdf
Photorealistic Monocular 3D Reconstruction of Humans Wearing Clothing,3D From Single Images,"['Thiemo Alldieck', 'Mihai Zanfir']",['Google'],https://openaccess.thecvf.com/content/CVPR2022/papers/Alldieck_Photorealistic_Monocular_3D_Reconstruction_of_Humans_Wearing_Clothing_CVPR_2022_paper.pdf
